Keyword,Volume,KD,CPC,Macro Category,Category,Product Type,Topic,User Intent,Intent,Is Brand,Content Type,Funnel,Est. Traffic,Est. Value,oofos.com: Position,kanefootwear.com: Position,hoka.com: Position,kurufootwear.com: Position,aetrex.com: Position,orthofeet.com: Position,velousfootwear.com: Position,reef.com: Position,olukai.com: Position
surgical clogs,300,4,0.7,Medical,Professional Footwear,Surgical Clog,Surgical Clog,Find surgical clogs,Commercial,FALSE,Blog Post,Consideration,96,67.19999999999999,12,,52,,49,83,,,
steel toe inserts for shoes,300,0,0.23,Apparel,Accessorie,Shoe Insert,Shoe Insert,Find steel toe inserts for shoes,Commercial,FALSE,Blog Post,Consideration,96,22.080000000000002,67,,,77,88,89,,,
on clouds kids shoes,300,0,0,Apparel,Footwear,Kids Athletic Shoe,Kids Athletic Shoe,Find On Cloud shoes for kids,Commercial,TRUE,Blog Post,Consideration,134,0,57,,39,,,,,,
oofos return policy,300,2,1.09,Apparel,Footwear,Recovery Footwear,Recovery Footwear,Learn about Oofos return policy,Informational,TRUE,Blog Post,Awareness,148,161.32000000000002,1,,,,,,,,47
shoe cushion inserts,300,14,0.32,Apparel,Accessorie,Shoe Insert,Shoe Insert,Find shoe cushion inserts,Commercial,FALSE,Blog Post,Consideration,96,30.72,93,,,94,54,24,,,
men's oofos sandals,300,5,0.43,Apparel,Footwear,Recovery Sandal,Recovery Sandal,Find men's Oofos sandals,Commercial,TRUE,Blog Post,Consideration,134,57.62,1,,,,,,,,69
flip-flop,300,47,0.55,Apparel,Footwear,Flip-flop,Flip-flop,Find flip-flops,Commercial,FALSE,Blog Post,Consideration,96,52.800000000000004,78,,,,,,,11,19
women slipper,300,11,0.55,Apparel,Footwear,Slipper,Slipper,Find women's slippers,Commercial,FALSE,Blog Post,Consideration,96,52.800000000000004,50,,,45,,71,,,25
hoka brand origin,300,2,1.78,Apparel,Footwear,Athletic Shoe,Athletic Shoe,Learn about Hoka brand origin,Informational,TRUE,Blog Post,Awareness,148,263.44,49,,1,,,,,,
white womens on clouds,300,0,0.38,Apparel,Footwear,Athletic Shoe,Athletic Shoe,Find white women's On Cloud shoes,Commercial,TRUE,Blog Post,Consideration,134,50.92,53,,80,,,,,,
wood sandals,300,0,0.14,Apparel,Footwear,Sandal,Sandal,Find wood sandals,Commercial,FALSE,Blog Post,Consideration,96,13.440000000000001,37,,,,,,,,25
vionic shoes reviews,300,0,0.33,Apparel,Footwear,Orthopedic Shoe,Orthopedic Shoe,Read reviews for Vionic shoes,Commercial,TRUE,Blog Post,Consideration,134,44.22,61,,,,,70,,,
most comfortable sneakers for standing all day,300,9,0.6,Apparel,Footwear,Sneaker,Sneaker,Find most comfortable sneakers for standing all day,Commercial,FALSE,Blog Post,Consideration,96,57.599999999999994,81,,61,63,,91,,,
vionic sandals sale,300,7,0.19,Apparel,Footwear,Sandal,Sandal,Find Vionic sandals on sale,Transactional,TRUE,Product Page,Conversion,121,22.990000000000002,41,,,,63,56,,,
travel sandals,300,1,0.41,Apparel,Footwear,Travel Sandal,Travel Sandal,Find travel sandals,Commercial,FALSE,Blog Post,Consideration,96,39.36,57,,,,,,,6,29
on cloud insoles,300,0,0.4,Apparel,Accessorie,Shoe Insole,Shoe Insole,Find On Cloud insoles,Commercial,TRUE,Blog Post,Consideration,134,53.6,50,,,,57,,,,
best shoes for flat feet standing all day,300,0,0.36,Apparel,Footwear,Therapeutic Shoe,Therapeutic Shoe,Find best shoes for flat feet for standing all day,Commercial,FALSE,Blog Post,Consideration,96,34.56,61,,58,14,,17,,,
most comfortable loafers for men,300,1,0.48,Apparel,Footwear,Loafer,Loafer,Find most comfortable loafers for men,Commercial,FALSE,Blog Post,Consideration,96,46.08,97,,,,,107,,,
crocs recovery clog,300,0,0,Apparel,Footwear,Recovery Clog,Recovery Clog,Find Crocs recovery clog,Commercial,TRUE,Blog Post,Consideration,134,0,35,66,,,,,,,
supportive house shoes for women,300,7,0,Apparel,Footwear,House Shoe,House Shoe,Find supportive house shoes for women,Commercial,FALSE,Blog Post,Consideration,96,0,19,,,24,67,3,,,7
vioniv,300,3,0.28,Apparel,Footwear,Orthopedic Shoe,Orthopedic Shoe,Find Vionic shoes,Navigational,TRUE,Homepage,Retention,134,37.52,76,,,,,101,,,
sneaker insoles,300,39,0.35,Apparel,Accessorie,Shoe Insole,Shoe Insole,Find sneaker insoles,Commercial,FALSE,Blog Post,Consideration,96,33.599999999999994,88,,,,56,19,,,
slippers dames,300,7,2.09,Apparel,Footwear,Slipper,Slipper,Find women's slippers,Commercial,FALSE,Blog Post,Consideration,96,200.64,4,,,,,7,,,
nurse shoe,250,12,0.8,Apparel,Footwear,Nurse Shoe,Nurse Shoe,Find nurse shoes,Commercial,FALSE,Blog Post,Consideration,80,64,46,66,1,67,,36,,,
mule slippers womens,250,0,0.39,Apparel,Footwear,Mule Slipper,Mule Slipper,Find women's mule slippers,Commercial,FALSE,Blog Post,Consideration,80,31.200000000000003,20,,,,,,,,75
sandals for sale,250,0,0.23,Apparel,Footwear,Sandal,Sandal,Find sandals for sale,Transactional,FALSE,Product Page,Conversion,72,16.560000000000002,70,,63,,,,,5,
best sneakers for supination,250,0,0.4,Apparel,Footwear,Sneaker,Sneaker,Find best sneakers for supination,Commercial,FALSE,Blog Post,Consideration,80,32,68,,72,2,,57,,,
slip on work shoes womens,250,2,0.37,Apparel,Footwear,Work Shoe,Shoe,Find slip on work shoes for women,Transactional,FALSE,Product Page,Conversion,72,26.64,85,,58,81,,34,,,
orthotic shoes for men,250,3,0.55,Apparel,Footwear,Orthotic Shoe,Orthotic Shoe,Find orthotic shoes for men,Transactional,FALSE,Product Page,Conversion,72,39.6,38,,21,13,23,3,,,
foam flip flops,250,4,0.4,Apparel,Footwear,Flip Flop,Flip Flop,Find foam flip flops,Transactional,FALSE,Product Page,Conversion,72,28.8,7,,37,,61,,,,30
insoles for neuropathy,250,0,0.51,Apparel,Footwear Accessorie,Insole,Insole,Find insoles for neuropathy,Transactional,FALSE,Product Page,Conversion,72,36.72,65,,,,110,49,,,
male sandals,250,10,0.59,Apparel,Footwear,Sandal,Sandal,Find men's sandals,Transactional,FALSE,Product Page,Conversion,72,42.48,58,,,62,,,,24,4
mens slide sandal,250,4,0,Apparel,Footwear,Slide Sandal,Slide Sandal,Find men's slide sandals,Transactional,FALSE,Product Page,Conversion,72,0,10,,57,,,,,3,5
foot insoles near me,250,3,0.73,Apparel,Footwear Accessorie,Insole,Insole,Find foot insoles locally,Navigational,FALSE,Homepage,Retention,80,58.4,79,,,,,29,,,
neon running shoes womens,250,0,0.51,Apparel,Footwear,Running Shoe,Running Shoe,Find neon running shoes for women,Transactional,FALSE,Product Page,Conversion,72,36.72,75,,21,,,,,,
croc slip ons,250,1,0.56,Apparel,Footwear,Slip-on Shoe,Slip-on Shoe,Find Croc slip-ons,Transactional,TRUE,Product Page,Conversion,101,56.56,46,57,,,,,,,61
good shoes for neuropathy,250,2,0.41,Apparel,Footwear,Therapeutic Shoe,Shoe,Find good shoes for neuropathy,Commercial,FALSE,Blog Post,Consideration,80,32.8,49,,,1,,10,,,
fuzzy sandals,250,1,0.58,Apparel,Footwear,Sandal,Sandal,Find fuzzy sandals,Transactional,FALSE,Product Page,Conversion,72,41.76,17,,,,,,,26,12
hoka replacement insoles,250,0,0.39,Apparel,Footwear Accessorie,Replacement Insole,Insole,Find Hoka replacement insoles,Transactional,TRUE,Product Page,Conversion,101,39.39,42,,2,,41,,,,
so shoes,250,0,0.25,Apparel,Footwear,General Shoe,Shoe,Find shoes,Transactional,FALSE,Product Page,Conversion,72,18,35,,100,,,,,,
online shoes store,250,92,0.4,Apparel,Footwear,Online Store,Store,Find an online shoes store,Navigational,FALSE,Homepage,Retention,80,32,98,,66,,,,,,
reef sandals men's,250,1,0.1,Apparel,Footwear,Sandal,Sandal,Find Reef sandals for men,Transactional,TRUE,Product Page,Conversion,101,10.100000000000001,98,,,,,,,1,69
most comfortable crocs,250,1,0.48,Apparel,Footwear,Clog,Clog,Find most comfortable Crocs,Commercial,TRUE,Blog Post,Consideration,112,53.76,57,81,,,,,,,
mens adjustable slides,250,7,0.23,Apparel,Footwear,Slide Sandal,Slide Sandal,Find men's adjustable slides,Transactional,FALSE,Product Page,Conversion,72,16.560000000000002,99,,36,,,,,7,52
ortho shoes near me,250,60,0.7,Apparel,Footwear,Orthotic Shoe,Orthotic Shoe,Find ortho shoes locally,Navigational,FALSE,Homepage,Retention,80,56,29,,,,10,2,,,
peroneal tendonitis shoes,250,0,0.59,Apparel,Footwear,Therapeutic Shoe,Shoe,Find shoes for peroneal tendonitis,Transactional,FALSE,Product Page,Conversion,72,42.48,41,,,49,,61,,,
crocs sandals near me,250,24,0.3,Apparel,Footwear,Sandal,Sandal,Find Crocs sandals locally,Navigational,TRUE,Homepage,Retention,112,33.6,40,60,,,,,,83,
ortho slippers for women,250,5,0.55,Apparel,Footwear,Slipper,Slipper,Find ortho slippers for women,Transactional,FALSE,Product Page,Conversion,72,39.6,12,,,,,5,,,
plantar fasciitis dress shoes for woman,250,1,0.45,Apparel,Footwear,Dress Shoe,Dress Shoe,Find plantar fasciitis dress shoes for women,Transactional,FALSE,Product Page,Conversion,72,32.4,49,,,21,10,4,,,
slides footwear,250,9,0.64,Apparel,Footwear,Slide Sandal,Slide Sandal,Find slides footwear,Transactional,FALSE,Product Page,Conversion,72,46.08,17,,38,,,,34,24,29
shoes store online,250,93,0.35,Apparel,Footwear,Online Store,Store,Find an online shoes store,Navigational,FALSE,Homepage,Retention,80,28,89,,71,,,,,,
best work boot insoles for standing all day,250,0,0.41,Apparel,Footwear Accessorie,Boot Insole,Insole,Find best work boot insoles for standing all day,Commercial,FALSE,Blog Post,Consideration,80,32.8,85,,,,1,43,,,
the feet store near me,250,71,0.62,Apparel,Footwear,Footwear Store,Store,Find "The Feet Store" locally,Navigational,TRUE,Homepage,Retention,112,69.44,21,,44,,,10,,,
how much are good feet inserts,250,1,0.52,Apparel,Footwear Accessorie,Shoe Insert,Insert,Learn about the price of Good Feet inserts,Informational,TRUE,Blog Post,Awareness,123,63.96,61,,,,,79,,,
womens sandals nearby,250,18,0.2,Apparel,Footwear,Sandal,Sandal,Find women's sandals locally,Navigational,FALSE,Homepage,Retention,80,16,65,,75,,84,,,8,16
black comfy shoes,250,0,0.47,Apparel,Footwear,Comfortable Shoe,Shoe,Find black comfy shoes,Commercial,FALSE,Blog Post,Consideration,80,37.599999999999994,33,,21,,,,,,
on cloud shoes for plantar fasciitis,250,12,0.26,Apparel,Footwear,Running Shoe,Running Shoe,Find On Cloud shoes for plantar fasciitis,Transactional,TRUE,Product Page,Conversion,101,26.26,59,,110,73,93,62,,,
mens wide sandals,250,0,0.55,Apparel,Footwear,Sandal,Sandal,Find men's wide sandals,Transactional,FALSE,Product Page,Conversion,72,39.6,42,,41,,,,,49,2
white work sneakers,250,2,0.31,Apparel,Footwear,Work Sneaker,Sneaker,Find white work sneakers,Transactional,FALSE,Product Page,Conversion,72,22.32,69,,,,,,,,61
oofos discount,250,2,0.37,Apparel,Footwear,Recovery Footwear,Recovery Footwear,Find Oofos discounts,Commercial,TRUE,Blog Post,Consideration,112,41.44,1,,,,,,,,78
waterproof women's sneakers,250,0,0.42,Apparel,Footwear,Sneaker,Sneaker,Find waterproof women's sneakers,Transactional,FALSE,Product Page,Conversion,72,30.24,85,,94,,,,,,
good standing shoes,250,11,0.47,Apparel,Footwear,Work Shoe,Shoe,Find good standing shoes,Commercial,FALSE,Blog Post,Consideration,80,37.599999999999994,81,,28,52,,34,,,
heel inserts for boots,250,0,0.3,Apparel,Footwear Accessorie,Heel Insert,Insert,Find heel inserts for boots,Transactional,FALSE,Product Page,Conversion,72,21.599999999999998,55,,,,35,43,,,
white women's shoes,250,1,0.32,Apparel,Footwear,General Shoe,Shoe,Find white women's shoes,Transactional,FALSE,Product Page,Conversion,72,23.04,65,,16,,,,,,31
beige wedge sandals,250,0,0.29,Apparel,Footwear,Wedge Sandal,Sandal,Find beige wedge sandals,Transactional,FALSE,Product Page,Conversion,72,20.88,88,,,,,,,62,75
where can i buy oofos near me,250,2,0.26,Apparel,Footwear,Recovery Footwear,Recovery Footwear,Find Oofos locally,Navigational,TRUE,Homepage,Retention,112,29.12,1,,,,,,,,44
most comfortable slip resistant shoes,250,3,0.59,Apparel,Footwear,Slip-resistant Shoe,Slip-resistant Shoe,Find most comfortable slip resistant shoes,Commercial,FALSE,Blog Post,Consideration,80,47.199999999999996,86,,110,61,,10,,106,
best shoes for 12 hour shifts,250,5,0.34,Apparel,Footwear,Work Shoe,Shoe,Find best shoes for 12-hour shifts,Commercial,FALSE,Blog Post,Consideration,80,27.200000000000003,19,50,7,,,27,,,
camo crocs for men,250,0,0.41,Apparel,Footwear,Clog,Clog,Find camo Crocs for men,Transactional,TRUE,Product Page,Conversion,101,41.41,88,,,,,,,91,
plantar fasciitis house shoes,250,0,0.63,Apparel,Footwear,House Shoe,House Shoe,Find plantar fasciitis house shoes,Transactional,FALSE,Product Page,Conversion,72,45.36,42,,,2,104,6,,,
rubber clogs womens,250,3,0.47,Apparel,Footwear,Clog,Clog,Find women's rubber clogs,Transactional,FALSE,Product Page,Conversion,72,33.839999999999996,29,,,,68,,,,
sole feet,250,14,0.43,Apparel,Footwear Accessorie,Orthotic,Orthotic,Find Sole brand orthotics/foot products,Transactional,TRUE,Product Page,Conversion,101,43.43,75,,,,,29,,,
grandpa slippers,250,0,0.39,Apparel,Footwear,Slipper,Slipper,Find grandpa slippers,Transactional,FALSE,Product Page,Conversion,72,28.080000000000002,59,,,,,,,,37
boys slide sandals,250,1,0,Apparel,Footwear,Slide Sandal,Slide Sandal,Find boys slide sandals,Transactional,FALSE,Product Page,Conversion,72,0,41,,52,,,,,7,55
foot orthotics near me,250,7,1.88,Apparel,Footwear Accessorie,Orthotic,Orthotic,Find foot orthotics locally,Navigational,FALSE,Homepage,Retention,80,150.39999999999998,89,,,,32,14,,,
nurses clogs,250,3,0.5,Apparel,Footwear,Clog,Clog,Find nurses clogs,Transactional,FALSE,Product Page,Conversion,72,36,43,,27,,,,,,
mens mule shoes,250,2,0.34,Apparel,Footwear,Mule Shoe,Mule Shoe,Find men's mule shoes,Transactional,FALSE,Product Page,Conversion,72,24.48,51,,,,,,,52,31
shoe brands usa,250,6,0.58,Apparel,Footwear,Shoe,Shoe,Find shoe brands,Informational,FALSE,Blog Post,Awareness,88,51.04,87,,34,,,,,,43
gifts for surgery recovery,250,0,0.54,Health,Recovery,Gift,Gift,Find gifts for recovery,Informational,FALSE,Blog Post,Awareness,88,47.52,56,,107,,,,,,
red bottom flip flops,250,0,0.24,Apparel,Footwear,Flip Flop,Flip Flop,Find red bottom flip flops,Commercial,FALSE,Blog Post,Consideration,80,19.2,34,,97,,,,,,33
cute womens sandals,250,14,0.33,Apparel,Footwear,Sandal,Sandal,Find cute women's sandals,Commercial,FALSE,Blog Post,Consideration,80,26.400000000000002,70,,,,65,,,8,
plantar fasciitis sandals for women,250,5,0.47,Health,Foot Health,Sandal,Sandal,Find sandals for plantar fasciitis,Commercial,FALSE,Blog Post,Consideration,80,37.599999999999994,36,,23,11,9,12,,28,83
orthopedic loafers,250,0,0.4,Health,Foot Health,Loafer,Loafer,Find orthopedic loafers,Commercial,FALSE,Blog Post,Consideration,80,32,60,,,47,30,8,,,
mens slip on walking shoes,250,2,0.4,Apparel,Footwear,Walking Shoe,Walking Shoe,Find men's slip-on walking shoes,Commercial,FALSE,Blog Post,Consideration,80,32,52,,18,5,,69,,,68
women's boot slippers,250,2,0,Apparel,Footwear,Boot Slipper,Boot Slipper,Find women's boot slippers,Commercial,FALSE,Blog Post,Consideration,80,0,96,,,,,,,,88
women summer sandals,250,11,0.2,Apparel,Footwear,Sandal,Sandal,Find women's summer sandals,Commercial,FALSE,Blog Post,Consideration,80,16,70,,66,,,,,4,26
most comfortable flip flops for men,250,7,0.55,Apparel,Footwear,Flip Flop,Flip Flop,Find comfortable men's flip flops,Commercial,FALSE,Blog Post,Consideration,80,44,60,,,,,,,9,4
good feet store houston,250,1,0.75,Health,Foot Health,Store,Store,Find Good Feet Store in Houston,Navigational,TRUE,Homepage,Retention,112,84,45,,42,,,22,,,
plantar fasciitis dress shoes,250,5,0.67,Health,Foot Health,Dress Shoe,Dress Shoe,Find dress shoes for plantar fasciitis,Commercial,FALSE,Blog Post,Consideration,80,53.6,71,,,47,18,10,,,
plastic clogs,250,1,0.69,Apparel,Footwear,Clog,Clog,Find plastic clogs,Commercial,FALSE,Blog Post,Consideration,80,55.199999999999996,22,82,,,87,,,,
chinelo nike,250,0,0.23,Apparel,Footwear,Flip Flop,Flip Flop,Find Nike flip flops,Transactional,TRUE,Product Page,Conversion,101,23.23,39,,53,,,,,,
house slippers mens,250,8,0.51,Apparel,Footwear,House Slipper,House Slipper,Find men's house slippers,Commercial,FALSE,Blog Post,Consideration,80,40.8,6,,,,,,,,3
heel cushion inserts,250,0,0.37,Health,Foot Health,Insole,Insole,Find heel cushion inserts,Commercial,FALSE,Blog Post,Consideration,80,29.6,63,,,57,47,41,,,
korean house slippers,250,0,0.33,Apparel,Footwear,House Slipper,House Slipper,Find Korean house slippers,Commercial,FALSE,Blog Post,Consideration,80,26.400000000000002,44,,,60,,,,,
vionic coupon,250,0,0.8,Apparel,Footwear,Coupon,Coupon,Find Vionic coupons,Transactional,TRUE,Product Page,Conversion,101,80.80000000000001,50,,,,,52,,,
non slip shower shoes,250,0,0.25,Home Good,Bathroom,Shower Shoe,Shower Shoe,Find non-slip shower shoes,Commercial,FALSE,Blog Post,Consideration,80,20,26,,,,,,,,51
youth birkenstock sandals,250,0,0.39,Apparel,Footwear,Sandal,Sandal,Find youth Birkenstock sandals,Transactional,TRUE,Product Page,Conversion,101,39.39,52,,,,,,,65,
custom sandals,250,26,0.83,Apparel,Footwear,Sandal,Sandal,Find custom sandals,Transactional,FALSE,Product Page,Conversion,72,59.76,58,,,,66,,,71,
women's clogs and mules,250,0,0.27,Apparel,Footwear,Clog,Clog,Find women's clogs and mules,Commercial,FALSE,Blog Post,Consideration,80,21.6,63,,,,58,,,,
what do non slip shoes look like,250,4,0.07,Apparel,Footwear,Non Slip Shoe,Shoe,Understand non-slip shoes,Informational,FALSE,Blog Post,Awareness,88,6.16,65,15,,1,,18,,,
shoe websites for men,250,28,0.25,Apparel,Footwear,Website,Website,Find shoe websites for men,Informational,FALSE,Blog Post,Awareness,88,22,93,,,,,,,,3
best skechers for plantar fasciitis,250,3,0.29,Health,Foot Health,Shoe,Shoe,Find best Skechers for plantar fasciitis,Commercial,TRUE,Blog Post,Consideration,112,32.48,79,,,,46,39,,,
mens house shoe,250,13,0.37,Apparel,Footwear,House Shoe,House Shoe,Find men's house shoes,Commercial,FALSE,Blog Post,Consideration,80,29.6,3,,,,,,,,2
on waterproof womens shoes,250,2,0.37,Apparel,Footwear,Waterproof Shoe,Shoe,Find On waterproof women's shoes,Transactional,TRUE,Product Page,Conversion,101,37.37,78,,41,,,,,,75
birkenstock official site,250,53,0.41,Apparel,Footwear,Website,Website,Go to Birkenstock official site,Navigational,TRUE,Homepage,Retention,112,45.919999999999995,31,,,,,,,50,60
cool mens slippers,250,9,0.57,Apparel,Footwear,Slipper,Slipper,Find cool men's slippers,Commercial,FALSE,Blog Post,Consideration,80,45.599999999999994,51,,,35,,49,,83,9
nurse work shoes,250,4,0.57,Apparel,Workwear,Work Shoe,Work Shoe,Find nurse work shoes,Commercial,FALSE,Blog Post,Consideration,80,45.599999999999994,42,53,1,52,,58,,,
diabetic boots,250,0,0.35,Health,Foot Health,Boot,Boot,Find diabetic boots,Commercial,FALSE,Blog Post,Consideration,80,28,56,,51,,,4,,,
purple shoe,250,0,0.26,Apparel,Footwear,Shoe,Shoe,Find purple shoes,Commercial,FALSE,Blog Post,Consideration,80,20.8,68,,106,,,,,,
women's orthopedic dress shoes,250,2,0.48,Health,Foot Health,Dress Shoe,Dress Shoe,Find women's orthopedic dress shoes,Commercial,FALSE,Blog Post,Consideration,80,38.4,40,,,19,31,1,,,
customize shoes online,250,46,0.4,Apparel,Footwear,Shoe,Shoe,Customize shoes online,Transactional,FALSE,Product Page,Conversion,72,28.8,94,,84,,,,,,
arch support slides,250,0,0.58,Health,Foot Health,Slide,Slide,Find arch support slides,Commercial,FALSE,Blog Post,Consideration,80,46.4,22,,44,113,57,78,,8,30
hoka one one coupon code,250,1,0.8,Apparel,Footwear,Coupon Code,Coupon,Find Hoka One One coupon code,Transactional,TRUE,Product Page,Conversion,101,80.80000000000001,63,,4,,,,,,
best walking shoes for neuropathy,250,0,0.28,Health,Foot Health,Walking Shoe,Walking Shoe,Find best walking shoes for neuropathy,Commercial,FALSE,Blog Post,Consideration,80,22.400000000000002,34,,62,8,,17,,,
mens shoes white,250,1,0.53,Apparel,Footwear,Shoe,Shoe,Find white men's shoes,Commercial,FALSE,Blog Post,Consideration,80,42.400000000000006,70,,,,,,,,51
flip flops womens,250,7,0.47,Apparel,Footwear,Flip Flop,Flip Flop,Find women's flip flops,Commercial,FALSE,Blog Post,Consideration,80,37.599999999999994,43,,65,,83,,,2,
strap sandals women,250,2,0.27,Apparel,Footwear,Sandal,Sandal,Find women's strap sandals,Commercial,FALSE,Blog Post,Consideration,80,21.6,50,,57,,55,,,,20
crocs insoles,250,0,0.23,Apparel,Footwear,Insole,Insole,Find Crocs insoles,Transactional,TRUE,Product Page,Conversion,101,23.23,53,,,,,,,79,
toe inserts,250,5,0.3,Health,Foot Health,Insert,Insert,Find toe inserts,Commercial,FALSE,Blog Post,Consideration,80,24,50,,82,78,55,,,,
beige slides,250,0,0.55,Apparel,Footwear,Slide,Slide,Find beige slides,Commercial,FALSE,Blog Post,Consideration,80,44,31,,98,,,,,,83
dsw in store coupons,250,6,0.03,Apparel,Footwear,Coupon,Coupon,Find DSW in-store coupons,Transactional,TRUE,Product Page,Conversion,101,3.03,98,,95,,,,,,
best nursing clogs,250,2,0.62,Apparel,Workwear,Clog,Clog,Find best nursing clogs,Commercial,FALSE,Blog Post,Consideration,80,49.6,31,,69,,56,,,,
women's low top sneakers,250,2,0.31,Apparel,Footwear,Low Top Sneaker,Sneaker,Find women's low top sneakers,Commercial,FALSE,Blog Post,Consideration,80,24.8,81,,69,,,,,,
best basketball shoes for plantar fasciitis,250,0,0.83,Health,Foot Health,Basketball Shoe,Basketball Shoe,Find best basketball shoes for plantar fasciitis,Commercial,FALSE,Blog Post,Consideration,80,66.39999999999999,32,,,23,,49,,,
work shoe stores near me,250,62,0.53,Apparel,Workwear,Store,Store,Find work shoe stores near me,Navigational,FALSE,Homepage,Retention,80,42.400000000000006,76,,68,,,,,,
best recovery shoes for runners,250,2,0.27,Sports & Fitness,Running,Recovery Shoe,Recovery Shoe,Find best recovery shoes for runners,Commercial,FALSE,Blog Post,Consideration,80,21.6,4,9,14,,,,,,
women croc sandals,250,0,0.32,Apparel,Footwear,Sandal,Sandal,Find women's Croc sandals,Transactional,TRUE,Product Page,Conversion,101,32.32,67,,56,,,,,,
running shoes high arches,250,0,0.33,Apparel,Footwear,Running Shoe,Shoe,Find shoes for high arches,Commercial,FALSE,Blog Post,Consideration,80,26.400000000000002,94,,,23,87,84,,,
kids wide toe box shoes,250,4,0,Apparel,Footwear,Kids Shoe,Shoe,Find kids shoes with wide toe box,Commercial,FALSE,Blog Post,Consideration,80,0,87,,61,104,,101,,,
best flats for plantar fasciitis,250,0,0.66,Apparel,Footwear,Flat,Flat,Find best flats for plantar fasciitis,Commercial,FALSE,Blog Post,Consideration,80,52.800000000000004,63,,,,38,34,,,
arch supports near me,250,2,0.62,Health,Orthotic,Arch Support,Arch Support,Find arch supports locally,Navigational,FALSE,Homepage,Retention,80,49.6,71,,60,,36,94,,113,
indoor shoes for sale,250,2,0.33,Apparel,Footwear,Indoor Shoe,Shoe,Buy indoor shoes,Transactional,FALSE,Product Page,Conversion,72,23.76,15,,103,,,,,,
oofos return,250,2,0.26,Apparel,Footwear,Recovery Footwear,Oofo,Find Oofos return policy,Informational,TRUE,Blog Post,Awareness,123,31.98,1,,,,,,,,64
supportive sandals for kids,250,0,0,Apparel,Footwear,Kids Sandal,Sandal,Find supportive kids sandals,Commercial,FALSE,Blog Post,Consideration,80,0,60,,92,,,104,,13,69
best sandals for high arches,250,1,0.4,Apparel,Footwear,Sandal,Sandal,Find best sandals for high arches,Commercial,FALSE,Blog Post,Consideration,80,32,92,,43,69,27,31,,12,1
good feet store columbus ohio,250,0,1.91,Health,Orthotic,Orthotics Retailer,Good Feet Store,Find Good Feet Store in Columbus Ohio,Navigational,TRUE,Homepage,Retention,112,213.92,26,,39,,,,,,
corrective shoes,250,56,0.46,Apparel,Footwear,Orthopedic Shoe,Shoe,Find corrective shoes,Commercial,FALSE,Blog Post,Consideration,80,36.800000000000004,77,,5,20,,1,,,
mens flip flop,250,2,0.47,Apparel,Footwear,Mens Flip Flop,Flip Flop,Find mens flip flops,Commercial,FALSE,Blog Post,Consideration,80,37.599999999999994,51,,57,,,,,4,56
barefoot sandals mens,250,1,0.53,Apparel,Footwear,Mens Barefoot Sandal,Sandal,Find mens barefoot sandals,Commercial,FALSE,Blog Post,Consideration,80,42.400000000000006,90,,,,,,,,95
outdoor sandal brands,250,36,0,Apparel,Footwear,Outdoor Sandal,Sandal,Find outdoor sandal brands,Informational,FALSE,Blog Post,Awareness,88,0,29,,98,,,,,79,30
arch support house shoes,250,7,0.62,Apparel,Footwear,House Shoe,House Shoe,Find arch support house shoes,Commercial,FALSE,Blog Post,Consideration,80,49.6,68,,,15,43,7,,,11
mens water sandal,250,1,0,Apparel,Footwear,Mens Water Sandal,Sandal,Find mens water sandals,Commercial,FALSE,Blog Post,Consideration,80,0,30,,49,,,,,10,35
running recovery slides,250,7,0.34,Apparel,Footwear,Recovery Slide,Slide,Find running recovery slides,Commercial,FALSE,Blog Post,Consideration,80,27.200000000000003,11,30,4,,,,,,
on cloud slip ons,250,2,0.4,Apparel,Footwear,Slip-on Shoe,On Cloud,Find On Cloud slip-on shoes,Transactional,TRUE,Product Page,Conversion,101,40.400000000000006,39,,,46,,,,,
new balance recovery shoes,250,0,0.35,Apparel,Footwear,Recovery Shoe,New Balance,Find New Balance recovery shoes,Transactional,TRUE,Product Page,Conversion,101,35.349999999999994,39,,86,,,,,,
skechers nyc,250,2,0.41,Apparel,Footwear,Skechers Store,Skecher,Find Skechers store in NYC,Navigational,TRUE,Homepage,Retention,112,45.919999999999995,31,,66,,,57,,,
mens flip flop sandals,250,5,0.39,Apparel,Footwear,Mens Flip Flop,Flip Flop,Find mens flip flop sandals,Commercial,FALSE,Blog Post,Consideration,80,31.200000000000003,56,,,,,,,8,6
nonslip shoes near me,250,6,0.23,Apparel,Footwear,Non-slip Shoe,Shoe,Find non-slip shoes locally,Navigational,FALSE,Homepage,Retention,80,18.400000000000002,46,,69,,,,,,
plantar fasciitis night sock,250,1,0.44,Health,Orthotic,Night Sock,Night Sock,Find plantar fasciitis night sock,Commercial,FALSE,Blog Post,Consideration,80,35.2,76,,,80,,,,,
sport sandals women,250,3,0.41,Apparel,Footwear,Womens Sport Sandal,Sandal,Find womens sport sandals,Commercial,FALSE,Blog Post,Consideration,80,32.8,46,,29,,44,,,,
most comfortable pickleball shoes,250,1,0.33,Apparel,Footwear,Pickleball Shoe,Shoe,Find comfortable pickleball shoes,Commercial,FALSE,Blog Post,Consideration,80,26.400000000000002,56,,,89,,10,,,
are zero drop shoes good for plantar fasciitis,250,0,0.21,Apparel,Footwear,Zero Drop Shoe,Shoe,Understand if zero drop shoes are good for plantar fasciitis,Informational,FALSE,Blog Post,Awareness,88,18.48,72,,,,,77,,,
